handle,vendor,type,status,live_media,local_assoc,local_files
mesa-comedor-exterior-hpl-10090-cm,Hevea,Mesa comedor,ACTIVE,1,1,images_optimized/1739982011_mundra-100.jpg
mesa-comedor-exterior-hpl-15090-cm,Hevea,Mesa comedor,ACTIVE,2,1,images_optimized/1739982968_mundra-hpl-150.jpg
sillon-exterior-estilo-versatil-58100-cm,Hevea,Sillón,ACTIVE,1,1,images_optimized/sillon-avalon.jpg
tumbona-de-exterior,Hevea,Tumbona,DRAFT,1,0,
parasol-para-terraza-300-cm,Hevea,Parasol,DRAFT,1,1,images_optimized/1739790589_VIENA-300.jpg
parasol-para-terraza-350-cm,Hevea,Parasol,DRAFT,1,1,images_optimized/1739789862_samson-350.jpg
parasol-para-terraza-300-cm-2,Hevea,Parasol,DRAFT,2,1,images_optimized/1739790899_CARACAS-250-300-NARANJA.jpg
base-de-parasol-25-kg,Hevea,Accesorios,ACTIVE,2,1,images_optimized/1739791182_base-25-40.jpg
set-losas-cemento-para-base-de-parasol,Hevea,Accesorios,ACTIVE,1,0,
balancin-jardin-exterior-148194-cm,Hevea,Balancín,ACTIVE,1,1,images_optimized/1739806848_sidney.jpg
banco-jardin-con-mesa-integrada-220-cm,Hevea,Banco con mesa,ACTIVE,2,1,images_optimized/yulien-banco-picnic.jpg
banco-de-exterior-150-cm,Hevea,Banco,ACTIVE,1,1,images_optimized/1739809440_gullivert.jpg
banco-de-exterior-108-cm,Hevea,Banco,ACTIVE,1,0,
balliu-tumbona-de-exterior-resina-923110d9,Balliu,Tumbona,ACTIVE,6,6,images_balliu/Eva-Pro-Balliu-800x614-1.png | images_balliu/balliu-eva-pro-arena-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/balliu-eva-pro-marron-oscuro-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/balliu-eva-pro-pamela-sun-umbrella-outdoor-furniture-mobiliario-terraza-jardin-01-scaled.jpg | images_balliu/balliu_recambio-tejido-para-tumbona-de-resina.png | images_balliu/eva-pro-blanco-01-00-800x614-1.jpg
