handle,proveedor,n_variantes,precio_min,precio_max,precio_psicologico_G(objetivo),coste_min,margen%_a_precio_min,status
balliu-mesa-exterior-hpl-140-180100-cm-e5e3bb40,Balliu,1,1595.0,1595.0,1595.0,987.56,25.1,OK
balliu-mesa-exterior-hpl-200-260100-cm-23187ea9,Balliu,1,2019.0,2019.0,2019.0,1250.19,25.1,OK
balliu-mesa-exterior-hpl-200-260100-cm-4a63be2f,Balliu,1,2299.0,2299.0,2299.0,1423.37,25.1,OK
balliu-mesa-alta-exterior-hpl-45c511e9,Balliu,1,515.0,515.0,515.0,273.99,35.6,OK
balliu-mesa-alta-exterior-hpl-f99491ce,Balliu,1,525.0,525.0,525.0,279.99,35.5,OK
balliu-mesa-exterior-hpl-451e7ba8,Balliu,1,349.95,349.95,349.95,187.58,35.1,OK
balliu-mesa-exterior-hpl-3adfe773,Balliu,1,387.95,387.95,387.95,208.21,35.1,OK
balliu-mesa-exterior-hpl-65e3ca13,Balliu,1,387.95,387.95,387.95,207.97,35.1,OK
balliu-mesa-exterior-hpl-1b4f3962,Balliu,1,439.95,439.95,439.95,235.95,35.1,OK
balliu-mesa-exterior-aluminio-90-cm-22901f1b,Balliu,2,389.95,442.95,"389.95, 442.95",209.41,35.0,OK
balliu-mesa-exterior-aluminio-7070-cm-724b0db0,Balliu,75,349.95,399.9,"378.95, 399.9, 426.95, 432.95, 535.0, 609.0, 625.0, 669.0",203.29,29.7,CORREGIR
balliu-mesa-alta-exterior-hpl-a3352658,Balliu,1,502.93,502.93,,,,SIN_FUENTE_EXCEL
balliu-mesa-alta-exterior-hpl-94512eab,Balliu,2,449.9,529.0,529.0,283.88,23.7,CORREGIR
balliu-mesa-alta-exterior-hpl-5d74130e,Balliu,1,595.0,595.0,595.0,317.28,35.5,OK
balliu-mesa-exterior-hpl-7070-cm-9d14e31f,Balliu,1,332.95,332.95,332.95,178.35,35.2,OK
balliu-mesa-exterior-hpl-7070-cm-146f72ca,Balliu,1,330.95,330.95,330.95,177.5,35.1,OK
balliu-mesa-exterior-hpl-8080-cm-1a2fe7b5,Balliu,1,348.95,348.95,348.95,186.98,35.2,OK
