handle,sku,fuente,price_antes,price_despues,compare_antes,compare_despues,status,error
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-GRIS-OSC-NARANJA,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-GRIS-OSC-VERDE-CLARO,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-GRIS-OSC-BLANCO,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-GRIS-OSC-NATURAL,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-GRIS-OSC-CAPUCHINO,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-GRIS-OSC-CAQUI,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-GRIS-OSC-MARRON-OSC,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-GRIS-OSC-ARENA,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-GRIS-OSC-VERDE-OSC,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-GRIS-OSC-AZUL-CEL,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-GRIS-OSC-CENIZA,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-GRIS-OSC-AZUL-MAR,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-GRIS-OSC-GRIS-OSC,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-GRIS-OSC-AZUL-ACERO,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-TORTOLA-AZUL,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-TORTOLA-AMARILLO,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-TORTOLA-NARANJA,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-TORTOLA-VERDE-CLARO,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-TORTOLA-BLANCO,psy(shopify),242.13,242.95,239.95,267.95,OK,
balliu-tumbona-de-exterior-resina-b19af1ea,SV-EVAPRO-TORTOLA-NATURAL,psy(shopify),242.13,242.95,239.95,267.95,OK,
