action,handle,title,vendor,preview_url,status,notes
hevea-skip,sofa-terraza-2-plazas-estilo-elegante-13170-cm,Sofá terraza 2 plazas · estilo elegante | 131×70 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-2-plazas-estilo-elegante-13170-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-3-plazas-estilo-moderno-18570-cm,Sofá terraza 3 plazas · estilo moderno | 185×70 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-3-plazas-estilo-moderno-18570-cm,ok,Already Hevea-tagged
hevea-skip,mesa-de-centro-exterior-hpl-90-cm-altura-40-cm,Mesa de centro exterior HPL 90 cm · altura 40 cm,Hevea,https://mueblesexterior.myshopify.com/products/mesa-de-centro-exterior-hpl-90-cm-altura-40-cm,ok,Already Hevea-tagged
hevea-skip,mesa-de-centro-exterior-hpl-120-cm-altura-40-cm-2,Mesa de centro exterior HPL 120 cm · altura 40 cm 2,Hevea,https://mueblesexterior.myshopify.com/products/mesa-de-centro-exterior-hpl-120-cm-altura-40-cm-2,ok,Already Hevea-tagged
hevea-skip,set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-4,Set jardín 2 plazas · moderno | sofá 2 plazas + 2 sillones + mesa 4,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-2-plazas-moderno-sofa-2-plazas-2-sillones-mesa-4,ok,Already Hevea-tagged
hevea-skip,set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-5,Set jardín 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa 5,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa-5,ok,Already Hevea-tagged
hevea-skip,pergola-aluminio-para-jardin-300300250-cm,Pérgola aluminio para jardín · 300×300×250 cm,Hevea,https://mueblesexterior.myshopify.com/products/pergola-aluminio-para-jardin-300300250-cm,ok,Already Hevea-tagged
hevea-skip,sillon-exterior-estilo-urbano-6670-cm,Sillón exterior · estilo urbano | 66×70 cm,Hevea,https://mueblesexterior.myshopify.com/products/sillon-exterior-estilo-urbano-6670-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-2-plazas-estilo-contemporaneo-13370-cm,Sofá terraza 2 plazas · estilo contemporáneo | 133×70 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-2-plazas-estilo-contemporaneo-13370-cm,ok,Already Hevea-tagged
hevea-skip,sofa-terraza-3-plazas-estilo-moderno-18770-cm,Sofá terraza 3 plazas · estilo moderno | 187×70 cm,Hevea,https://mueblesexterior.myshopify.com/products/sofa-terraza-3-plazas-estilo-moderno-18770-cm,ok,Already Hevea-tagged
hevea-skip,set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-3,Set jardín 2 plazas · contemporáneo | sofá 2 plazas + 2 sillones + mesa 3,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-2-plazas-contemporaneo-sofa-2-plazas-2-sillones-mesa-3,ok,Already Hevea-tagged
hevea-skip,set-jardin-3-plazas-urbano-sofa-3-plazas-2-sillones-mesa,Set jardín 3 plazas · urbano | sofá 3 plazas + 2 sillones + mesa,Hevea,https://mueblesexterior.myshopify.com/products/set-jardin-3-plazas-urbano-sofa-3-plazas-2-sillones-mesa,ok,Already Hevea-tagged
hevea-skip,set-rinconera-exterior-hpl-sofisticado-sofa-de-esquina-mesa-de-centro,Set rinconera exterior HPL · sofisticado | sofá de esquina + mesa de centro | Blanco - Beige,Hevea,https://mueblesexterior.myshopify.com/products/set-rinconera-exterior-hpl-sofisticado-sofa-de-esquina-mesa-de-centro,ok,Already Hevea-tagged
hevea-skip,set-rinconera-exterior-hpl-elegante-sofa-de-esquina-mesa-de-centro,Set rinconera exterior HPL · elegante | sofá de esquina + mesa de centro,Hevea,https://mueblesexterior.myshopify.com/products/set-rinconera-exterior-hpl-elegante-sofa-de-esquina-mesa-de-centro,ok,Already Hevea-tagged
hevea-skip,set-rinconera-exterior-hpl-moderno-sofa-de-esquina-mesa-de-centro,Set rinconera exterior HPL · moderno | sofá de esquina + mesa de centro,Hevea,https://mueblesexterior.myshopify.com/products/set-rinconera-exterior-hpl-moderno-sofa-de-esquina-mesa-de-centro,ok,Already Hevea-tagged
hevea-skip,set-rinconera-exterior-contemporaneo-sofa-de-esquina-mesa-de-centro,Set rinconera exterior · contemporáneo | sofá de esquina + mesa de centro,Hevea,https://mueblesexterior.myshopify.com/products/set-rinconera-exterior-contemporaneo-sofa-de-esquina-mesa-de-centro,ok,Already Hevea-tagged
