handle,title,status,type,vendor,desc_words,seo_desc,image,variants,variants_sin_gtin
sillon-exterior-estilo-versatil-58100-cm,Sillón exterior · estilo versátil | 58×100 cm,ACTIVE,Sillón,Hevea,43,sí,sí,1,1
sofa-terraza-3-plazas-estilo-sofisticado-17578-cm,Sofá terraza 3 plazas · estilo sofisticado | 175×78 cm,ACTIVE,Sofá,Hevea,44,sí,sí,1,1
sillon-exterior-estilo-versatil-7685-cm,Sillón exterior · estilo versátil | 76×85 cm,ACTIVE,Sillón,Hevea,44,sí,sí,1,1
sofa-terraza-2-plazas-estilo-contemporaneo-13090-cm,Sofá terraza 2 plazas · estilo contemporáneo | 130×90 cm,ACTIVE,Sofá,Hevea,45,sí,sí,1,1
sofa-terraza-2-plazas-estilo-contemporaneo-12078-cm,Sofá terraza 2 plazas · estilo contemporáneo | 120×78 cm,ACTIVE,Sofá,Hevea,45,sí,sí,1,1
mesa-comedor-exterior-hpl-10090-cm,Mesa comedor exterior HPL 100×90 cm,ACTIVE,Mesa comedor,Hevea,45,sí,sí,1,1
mesa-de-centro-exterior-hpl-120-cm-altura-40-cm,Mesa de centro exterior HPL 120 cm · altura 40 cm,ACTIVE,Mesa centro,Hevea,46,sí,sí,1,1
sillon-exterior-estilo-elegante-6590-cm,Sillón exterior · estilo elegante | 65×90 cm,ACTIVE,Sillón,Hevea,47,sí,sí,1,1
sillon-exterior-estilo-elegante-6578-cm,Sillón exterior · estilo elegante | 65×78 cm,ACTIVE,Sillón,Hevea,47,sí,sí,1,1
mesa-comedor-exterior-hpl-13590-cm,Mesa comedor exterior HPL,ACTIVE,Mesa comedor,Hevea,47,sí,sí,2,2
set-jardin-aluminio-3-plazas-contemporaneo-sofa-3-plazas-2-sillones-mesa,Set jardín aluminio 3 plazas · contemporáneo | sofá 3 plazas + 2 sillones + mesa,ACTIVE,Conjunto sofá,Hevea,48,sí,sí,1,1
mesa-de-centro-exterior-90-cm-altura-40-cm,Mesa de centro exterior 90 cm · altura 40 cm,ACTIVE,Mesa centro,Hevea,48,sí,sí,1,1
sofa-terraza-bicolor-2-plazas-estilo-bicolor-14076-cm,Sofá terraza bicolor 2 plazas · estilo bicolor | 140×76 cm,ACTIVE,Sofá,Hevea,48,sí,sí,1,1
sillon-exterior-bicolor-estilo-bicolor-7376-cm,Sillón exterior bicolor · estilo bicolor | 73×76 cm,ACTIVE,Sillón,Hevea,51,sí,sí,1,1
sofa-terraza-3-plazas-estilo-sofisticado-19475-cm,Sofá terraza 3 plazas · estilo sofisticado | 194×75 cm,ACTIVE,Sofá,Hevea,52,sí,sí,1,1
sofa-terraza-bicolor-3-plazas-estilo-bicolor-20076-cm,Sofá terraza bicolor 3 plazas · estilo bicolor | 200×76 cm,ACTIVE,Sofá,Hevea,52,sí,sí,1,1
parasol-cuadrado-200x200,Parasol cuadrado exterior · aluminio 200×200 cm · Ágora,ACTIVE,Parasol,santavila,55,NO,NO,9,9
set-rinconera-exterior-sofisticado-sofa-de-esquina-mesa-de-centro,Set rinconera exterior · sofisticado | sofá de esquina + mesa de centro,ACTIVE,Conjunto rinconera,Hevea,56,sí,sí,1,1
sofa-terraza-2-plazas-estilo-envolvente-13575-cm,Sofá terraza 2 plazas · estilo envolvente | 135×75 cm,ACTIVE,Sofá,Hevea,57,sí,sí,1,1
sofa-terraza-aluminio-3-plazas-estilo-contemporaneo-22090-cm,Sofá terraza aluminio 3 plazas · estilo contemporáneo | 220×90 cm,ACTIVE,Sofá,Hevea,61,sí,sí,1,1
sillon-exterior-estilo-elegante-7275-cm,Sillón exterior · estilo elegante | 72×75 cm,ACTIVE,Sillón,Hevea,66,sí,sí,1,1
balliu-tumbona-de-exterior-resina-28ff014d,Tumbona exterior resina · Noa,ACTIVE,Tumbona,Balliu,66,sí,sí,80,80
sillon-exterior-aluminio-estilo-envolvente-9890-cm,Sillón exterior aluminio · estilo envolvente | 98×90 cm,ACTIVE,Sillón,Hevea,67,sí,sí,1,1
balliu-tumbona-de-exterior-aluminio-d08586c1,Tumbona exterior aluminio alta · acceso fácil · Etna Alta,ACTIVE,Tumbona,Balliu,69,sí,sí,96,96
mesa-de-centro-exterior-120-cm-altura-40-cm-2,Mesa de centro exterior 120 cm · altura 40 cm 2,ACTIVE,Mesa centro,Hevea,70,sí,sí,1,1
balliu-silla-exterior-sin-brazos-resina-estilo-funcional-daabcdaf,Silla exterior resina · Vera,ACTIVE,Silla,Balliu,70,sí,sí,6,6
sofa-terraza-aluminio-2-plazas-estilo-contemporaneo-16690-cm,Sofá terraza aluminio 2 plazas · estilo contemporáneo | 166×90 cm,ACTIVE,Sofá,Hevea,71,sí,sí,1,1
balliu-mini-tumbona-de-exterior-aluminio-57-cm-98ab84ce,Mini tumbona exterior aluminio apilable · 57 cm · Marina,ACTIVE,Mini tumbona,Balliu,71,sí,sí,32,32
balliu-tumbona-de-exterior-resina-923110d9,Tumbona exterior resina · Ø73 cm tablillas · Eva Pro T,ACTIVE,Tumbona,Balliu,72,sí,sí,5,5
balliu-tumbona-de-exterior-resina-b19af1ea,Tumbona exterior resina · Ø73 cm tela · Eva Pro,ACTIVE,Tumbona,Balliu,72,sí,sí,80,80
balliu-tumbona-de-exterior-sin-ruedas-aluminio-da3f5c24,Tumbona exterior aluminio · con/sin ruedas · Olimpia,ACTIVE,Tumbona,Balliu,73,sí,sí,96,96
balliu-tumbona-de-exterior-aluminio-36870d09,Tumbona exterior aluminio · Etna,ACTIVE,Tumbona,Balliu,75,sí,sí,96,96
balliu-mobiliario-exterior-resina-28-cm-6264905d,Mobiliario exterior resina | 28 cm,ACTIVE,Mobiliario exterior,Balliu,77,sí,sí,1,1
balliu-silla-exterior-resina-estilo-funcional-0b607ec7,Silla exterior resina apilable · Selva,ACTIVE,Silla,Balliu,78,sí,sí,2,2
balliu-mesa-exterior-aluminio-7070-cm-1b61e6b6,Mesa exterior aluminio · HPL · Altea,ACTIVE,Mesa,Balliu,78,sí,sí,20,20
balliu-mesa-exterior-aluminio-75-cm-dd745448,Mesa exterior aluminio · 75×75 cm · Ágata,ACTIVE,Mesa,Balliu,78,sí,sí,2,2
balliu-silla-exterior-resina-estilo-minimalista-484cbea0,Silla exterior resina · estilo minimalista · Duna,ACTIVE,Silla,Balliu,79,sí,sí,3,3
mesa-de-centro-exterior-120-cm-altura-40-cm,Mesa de centro exterior 120 cm · altura 40 cm,ACTIVE,Mesa centro,Hevea,80,sí,sí,1,1
balliu-tumbona-de-exterior-aluminio-68-cm-f7ab4da8,Tumbona exterior aluminio apilable · 68 cm · Marina,ACTIVE,Tumbona,Balliu,81,sí,sí,16,16
balliu-mesa-exterior-aluminio-7070-cm-724b0db0,Mesa exterior aluminio · HPL · Capri,ACTIVE,Mesa,Balliu,82,sí,sí,75,75
balliu-mini-tumbona-de-exterior-aluminio-62-cm-5a6f53eb,Mini tumbona exterior aluminio plegable · 62 cm · Cannes,ACTIVE,Mini tumbona,Balliu,83,sí,sí,48,48
balliu-mesa-exterior-aluminio-72-cm-72514f40,Mesa exterior aluminio · 72×72 cm · Nora,ACTIVE,Mesa,Balliu,83,sí,sí,2,2
balliu-mini-tumbona-de-exterior-madera-59-cm-fa211c70,Mini tumbona exterior madera teca plegable · 59 cm · Bristol,ACTIVE,Mini tumbona,Balliu,84,sí,sí,16,16
sofa-terraza-3-plazas-estilo-moderno-18570-cm,Sofá terraza 3 plazas · estilo moderno | 185×70 cm,ACTIVE,Sofá,Hevea,85,sí,sí,1,1
