handle,sku,titulo,cat,price,cost_net,fuente,gross_pct,net_pct,net_eur,carrier,fee,esc,alerta,notas,compare_ok
mesa-comedor-exterior-hpl-13590-cm,123-0017,Mesa comedor exterior HPL,l,720.0,375.0,shopify,37.0,26.0,154.62,50.0,15.42,envio_gratis,OK,,OK
silla-exterior-estilo-estilizado,123-0002,Silla exterior · estilo estilizado,m,199.95,104.0,shopify,37.1,52.5,86.7,0.0,4.5,cliente_paga,OK,,OK
silla-exterior-estilo-contemporaneo,123-0001,Silla exterior · estilo contemporáneo,m,175.95,92.0,shopify,36.7,54.6,79.37,0.0,3.99,cliente_paga,OK,,OK
mesa-comedor-exterior-hpl-10090-cm,123-0013,Mesa comedor exterior HPL 100×90 cm,l,585.0,303.0,shopify,37.3,24.4,117.89,50.0,12.59,envio_gratis,OK,,OK
mesa-comedor-exterior-hpl-15090-cm,557-011019,Mesa comedor exterior HPL 150×90 cm,l,669.0,347.0,shopify,37.2,25.6,141.54,50.0,14.35,envio_gratis,OK,,OK
sillon-exterior-estilo-versatil-58100-cm,123-0011,Sillón exterior · estilo versátil | 58×100 cm,m,114.95,60.0,shopify,36.8,65.5,62.24,0.0,2.71,cliente_paga,OK,,OK
base-de-parasol-25-kg,921-0026,Base de parasol 25 kg,l,78.95,41.0,shopify,37.2,123.0,80.24,0.0,1.96,cliente_paga,OK,,OK
set-losas-cemento-para-base-de-parasol,921-0009,Set losas cemento para base de parasol,l,217.95,114.0,shopify,36.7,66.2,119.2,0.0,4.88,cliente_paga,OK,,OK
balancin-jardin-exterior-148194-cm,557-010143,Balancín jardín exterior · 148×194 cm,l,1805.0,939.0,shopify,37.1,34.5,514.53,0.0,38.2,envio_gratis,OK,,OK
banco-jardin-con-mesa-integrada-220-cm,557-010947,Banco jardín con mesa integrada · 220 cm,l,2899.0,1509.0,shopify,37.0,34.5,825.69,0.0,61.18,envio_gratis,OK,,OK
banco-de-exterior-150-cm,557-010016,Banco de exterior 150 cm,l,423.95,221.0,shopify,36.9,36.6,128.12,50.0,9.2,cliente_paga,OK,,OK
banco-de-exterior-108-cm,557-011350,Banco de exterior 108 cm,l,381.95,199.0,shopify,37.0,36.8,116.29,50.0,8.32,cliente_paga,OK,,OK
